location,gender,age,pretest_1,pretest_2,posttest_1,posttest_2,w1,w2,w3,w4,code
MtVernon,f,80,3.0,6.0,4.0,6.0,34.0,33.0,41.0,40.0,136
Freeport,f,71,2.0,6.0,2.0,6.0,28.0,21.0,31.0,35.0,173
Freeport,f,60,4.0,7.0,4.0,7.0,7.0,5.0,7.0,7.0,174
MtVernon,m,67,3.0,6.0,4.0,7.0,4.0,6.0,6.0,7.0,135
Freeport,f,68,5.0,6.0,4.0,7.0,28.0,36.0,38.0,40.0,175
MtVernon,f,66,4.0,7.0,4.0,7.0,11.0,12.0,17.0,15.0,140
MtVernon,f,92,3.0,6.0,3.0,7.0,19.0,19.0,23.0,29.0,133
Freeport,f,62,3.0,5.0,3.0,7.0,12.0,21.0,32.0,36.0,176
MtVernon,f,65+,0.0,5.0,5.0,7.0,41.0,41.0,42.0,42.0,132
MtVernon,m,74,5.0,7.0,4.0,7.0,42.0,42.0,42.0,42.0,131
Freeport,f,60,4.0,7.0,4.0,7.0,5.0,25.0,3.0,6.0,177
MtVernon,f,63,4.0,7.0,4.0,7.0,37.0,35.0,40.0,35.0,130
Freeport,m,89,5.0,6.0,5.0,7.0,37.0,35.0,34.0,27.0,178
Freeport,f,74,4.0,7.0,4.0,7.0,24.0,19.0,21.0,19.0,179
Freeport,f,75,5.0,7.0,5.0,7.0,39.0,38.0,22.0,38.0,180
MtVernon,f,61,5.0,5.0,5.0,6.0,42.0,37.0,24.0,32.0,129
Freeport,f,66,5.0,7.0,5.0,7.0,3.0,0.0,0.0,3.0,181
Freeport,m,80,4.0,6.0,4.0,7.0,7.0,7.0,9.0,9.0,165
Macomb,m,83,5.0,7.0,5.0,7.0,26.0,29.0,28.0,28.0,227
Macomb,m,65,4.0,4.0,3.0,5.0,18.0,20.0,20.0,21.0,215
Macomb,f,73,5.0,7.0,5.0,7.0,21.0,18.0,21.0,25.0,216
Macomb,f,62,1.0,4.0,4.0,7.0,13.0,17.0,25.0,27.0,217
Peru,f,74,2.0,7.0,4.0,7.0,12.0,19.0,30.0,0.0,187
Peru,f,67,4.0,7.0,4.0,7.0,36.0,37.0,39.0,42.0,188
Peru,m,61,3.0,4.0,3.0,7.0,36.0,23.0,35.0,37.0,189
Peru,m,64,3.0,7.0,4.0,7.0,38.0,40.0,42.0,40.0,190
Peru,f,64,5.0,6.0,5.0,7.0,36.0,37.0,36.0,38.0,191
Peru,m,78,1.0,7.0,3.0,7.0,32.0,28.0,35.0,32.0,192
Peru,f,60,3.0,4.0,5.0,6.0,22.0,30.0,10.0,24.0,193
Peru,f,78,3.0,4.0,3.0,6.0,41.0,32.0,26.0,27.0,194
Peru,unknown,unknown,4.0,7.0,2.0,6.0,36.0,30.0,36.0,40.0,195
Peru,f,72,3.0,3.0,3.0,6.0,41.0,33.0,42.0,42.0,196
Peru,f,67,4.0,6.0,4.0,7.0,40.0,36.0,39.0,37.0,197
Peru,m,69,4.0,3.0,3.0,7.0,25.0,13.0,19.0,21.0,198
Peru,m,70,5.0,7.0,5.0,7.0,16.0,21.0,19.0,11.0,199
Peru,f,85,3.0,6.0,4.0,7.0,32.0,39.0,35.0,37.0,200
Peru,f,76,3.0,7.0,4.0,7.0,26.0,16.0,30.0,14.0,201
Peru,f,71,3.0,4.0,4.0,7.0,22.0,29.0,39.0,40.0,202
Peru,m,65,4.0,6.0,4.0,7.0,17.0,7.0,3.0,0.0,203
Peru,f,78,1.0,7.0,1.0,7.0,42.0,42.0,42.0,42.0,204
Peru,f,64,5.0,7.0,5.0,7.0,31.0,31.0,29.0,34.0,205
Peru,f,61,4.0,6.0,4.0,6.0,13.0,17.0,10.0,9.0,206
Peru,f,60,5.0,7.0,5.0,7.0,33.0,40.0,46.0,43.0,207
Peru,f,68,2.0,4.0,4.0,6.0,17.0,16.0,17.0,10.0,208
Peru,m,62,5.0,6.5,5.0,7.0,42.0,42.0,26.0,31.0,209
Peru,f,80,3.0,6.0,3.0,7.0,27.0,33.0,33.0,35.0,210
Peru,f,72,3.0,7.0,4.0,7.0,42.0,37.0,40.0,37.0,186
MtVernon,f,63,2.0,4.0,2.0,6.0,42.0,42.0,42.0,42.0,127
Peru,f,67,5.0,7.0,5.0,7.0,34.0,42.0,37.0,39.0,211
Peru,f,60,5.0,4.0,5.0,4.0,37.0,34.0,31.0,31.0,212
Macomb,m,82,3.0,5.0,3.0,6.0,16.0,20.0,20.0,20.0,229
